country,cntry.code,prod.round,prod.fuel,FHI.round,FHI.fuel,GFCL
Algeria,DZA,155484,7307179,2745,127299,3237
Angola,AGO,1095905,3322633,36021,291457,126015
Benin,BEN,331999,5967531,11992,575246,11716
Burkina Faso,BFA,946800,7001000,28736,567158,19364
Burundi,BDI,328300,7619706,3528,217241,2677
Cameroon,CMR,1567823,9257363,6478,102082,54209
Central African Republic,CAF,892505,2000000,6808,40713,65490
Chad,TCD,760997,6121110,53050,1138784,38573
Congo,COG,1822011,1231711,11462,20678,26359
Congo DR,COD,3868596,67312693,21416,994456,201108
Cote dIvoire,CIV,2224474,8586515,11179,115162,38614
Egypt,EGY,267998,16485349,3127,192329,330
Eritrea,ERI,1924,1663979,107,245979,2613
Ethiopia,ETH,2647679,90225983,152377,13254415,68177
Gambia,GMB,112702,620158,3833,56284,964
Ghana,GHA,1202780,28754165,26446,1687441,30107
Guinea,GIN,651003,11538323,10724,507233,26883
Guinea Bissau,GNB,169999,2301284,7200,260114,2339
Kenya,KEN,1801290,20007730,12530,357566,40088
Liberia,LBR,1085989,5141770,8757,110646,13957
Libya,LBY,115999,849194,4481,32802,45
Madagascar,MDG,157825,10202981,1198,203458,50164
Malawi,MWI,512985,5030991,5975,155901,10823
Mali,MLI,412898,4846720,26655,835001,30066
Mauritania,MRT,5700,1503297,363,255560,598
Morocco,MAR,552854,6932361,20541,261613,3084
Mozambique,MOZ,1320756,16724000,46405,1566887,190883
Niger,NER,410997,3846687,50192,1250329,1282
Nigeria,NGA,9418190,60082438,97101,1653071,81552
Rwanda,RWA,480639,5000000,4711,131736,2534
Sao Tome and Principe,STP,9630,98442,74,2008,93
Senegal,SEN,794017,5177909,27098,471601,15374
Sierra Leone,SLE,123603,5377030,3937,457048,15455
Somalia,SOM,110002,10062276,5607,1368818,20810
South Africa,ZAF,19566194,12000000,353075,455715,100749
Tanzania,TZA,2339889,21135342,80948,1940925,147627
Togo,TGO,236601,5345159,3276,197538,5709
Tunisia,TUN,216814,2115649,11397,112420,513
Uganda,UGA,3191623,35152142,93720,2749940,23031
Zambia,ZMB,551862,8068928,12663,492536,130896
Zimbabwe,ZWE,977503,8115200,33261,723304,121082