cntry.code,giniavg0514
ABW,
AFG,
AGO,42.7
ALB,29.8
AND,
ARB,
ARE,
ARG,45.2
ARM,31.4
ASM,
ATG,
AUS,35.3
AUT,30.3
AZE,24.2
BDI,33.4
BEL,28.7
BEN,43.4
BFA,37.5
BGD,32.7
BGR,33.9
BHR,
BHS,
BIH,33.4
BLR,27.7
BLZ,
BMU,
BOL,51.3
BRA,54.0
BRB,
BRN,
BTN,38.5
BWA,60.5
CAF,56.2
CAN,33.8
CEB,
CHE,32.9
CHI,
CHL,51.3
CHN,42.5
CIV,43.2
CMR,44.7
COD,42.1
COG,48.1
COL,54.7
COM,
CPV,47.2
CRI,49.0
CSS,
CUB,
CUW,
CYM,
CYP,31.8
CZE,26.4
DEU,31.5
DJI,44.6
DMA,
DNK,28.2
DOM,48.4
DZA,
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,49.6
EGY,
EMU,
ERI,
ESP,34.6
EST,32.5
ETH,33.2
EUU,
FCS,
FIN,27.7
FJI,42.8
FRA,32.3
FRO,
FSM,42.8
GAB,42.2
GBR,34.4
GEO,40.8
GHA,42.8
GIB,
GIN,36.5
GMB,
GNB,50.7
GNQ,
GRC,35.0
GRD,
GRL,
GTM,52.0
GUM,
GUY,
HIC,
HKG,
HND,55.3
HPC,
HRV,31.8
HTI,60.8
HUN,28.8
IBD,
IBT,
IDA,
IDB,
IDN,39.5
IDX,
IMN,
IND,35.2
INX,
IRL,32.4
IRN,39.2
IRQ,
ISL,28.8
ISR,41.9
ITA,34.1
JAM,
JOR,
JPN,32.1
KAZ,28.4
KEN,48.5
KGZ,30.6
KHM,34.5
KIR,37.6
KNA,
KOR,
KWT,
LAC,
LAO,37.3
LBN,
LBR,36.5
LBY,
LCA,
LCN,
LDC,
LIC,
LIE,
LKA,38.6
LMC,
LMY,
LSO,54.2
LTE,
LTU,34.9
LUX,32.0
LVA,36.3
MAC,
MAF,
MAR,40.7
MCO,
MDA,32.1
MDG,40.7
MDV,38.4
MEA,
MEX,48.1
MHL,
MIC,
MKD,42.0
MLI,36.0
MLT,
MMR,
MNA,
MNE,30.9
MNG,33.7
MNP,
MOZ,45.6
MRT,34.1
MUS,35.7
MWI,46.1
MYS,46.2
NAC,
NAM,61.0
NCL,
NER,36.8
NGA,43.0
NIC,44.4
NLD,29.3
NOR,27.3
NPL,32.8
NRU,
NZL,
OED,
OMN,
OSS,
PAK,31.2
PAN,52.5
PER,47.7
PHL,43.4
PLW,
PNG,43.9
POL,33.3
PRE,
PRI,
PRK,
PRT,36.6
PRY,51.0
PSE,34.7
PSS,
PST,
PYF,
QAT,
ROU,32.9
RUS,41.2
RWA,51.3
SAS,
SAU,
SDN,35.4
SEN,39.8
SGP,
SLB,46.1
SLE,34.0
SLV,44.5
SMR,
SOM,
SRB,29.7
SSA,
SSD,46.3
SSF,
SST,
STP,30.8
SUR,
SVK,26.7
SVN,24.7
SWE,27.0
SWZ,51.5
SXM,
SYC,44.8
SYR,
TCA,
TCD,43.3
TEA,
TEC,
TGO,44.1
THA,39.4
TJK,30.9
TKM,
TLA,
TLS,31.6
TMN,
TON,38.1
TSA,
TSS,
TTO,
TUN,36.8
TUR,39.8
TUV,41.1
TZA,39.0
UGA,42.7
UKR,26.1
UMC,
URY,44.7
USA,41.1
UZB,
VCT,
VEN,49.7
VGB,
VIR,
VNM,38.9
VUT,37.2
WLD,
WSM,42.7
XKX,30.1
YEM,
ZAF,63.7
ZMB,55.1
ZWE,43.2